HomeTeam,AwayTeam,Referee,BWH,BWD,BWA,Avg<2.5,Avg>2.5,Day_of_year,Day_of_week,Month,Year,Season
Aston Villa,West Ham,M Dean,1.85,3.4,4.1,1.75,2.01,226,Saturday,8,2010,2010/2011
Blackburn,Everton,P Dowd,2.75,3.25,2.45,1.7,2.08,226,Saturday,8,2010,2010/2011
Bolton,Fulham,S Attwell,2.15,3.25,3.25,1.69,2.09,226,Saturday,8,2010,2010/2011
Chelsea,West Brom,M Clattenburg,1.15,6.75,16.0,2.49,1.49,226,Saturday,8,2010,2010/2011
Sunderland,Birmingham,A Taylor,2.15,3.2,3.3,1.65,2.16,226,Saturday,8,2010,2010/2011
Tottenham,Man City,A Marriner,2.35,3.3,2.85,1.84,1.91,226,Saturday,8,2010,2010/2011
Wigan,Blackpool,M Halsey,1.78,3.4,4.5,1.68,2.11,226,Saturday,8,2010,2010/2011
Wolves,Stoke,L Probert,2.25,3.15,3.1,1.6,2.25,226,Saturday,8,2010,2010/2011
Liverpool,Arsenal,M Atkinson,2.45,3.25,2.75,1.62,2.21,227,Sunday,8,2010,2010/2011
Man United,Newcastle,C Foy,1.22,5.5,12.5,2.05,1.72,228,Monday,8,2010,2010/2011
Arsenal,Blackpool,M Jones,1.16,6.5,15.5,2.69,1.42,233,Saturday,8,2010,2010/2011
Birmingham,Blackburn,M Oliver,2.2,3.1,3.3,1.59,2.27,233,Saturday,8,2010,2010/2011
Everton,Wolves,L Mason,1.45,4.0,7.0,1.81,1.94,233,Saturday,8,2010,2010/2011
Stoke,Tottenham,C Foy,3.3,3.2,2.15,1.64,2.18,233,Saturday,8,2010,2010/2011
West Brom,Sunderland,K Friend,2.45,3.2,2.75,1.69,2.11,233,Saturday,8,2010,2010/2011
West Ham,Bolton,A Marriner,2.15,3.25,3.25,1.77,1.99,233,Saturday,8,2010,2010/2011
Wigan,Chelsea,M Dean,12.5,5.5,1.22,2.2,1.61,233,Saturday,8,2010,2010/2011
Fulham,Man United,P Walton,6.25,3.8,1.53,1.82,1.94,234,Sunday,8,2010,2010/2011
Newcastle,Aston Villa,M Atkinson,2.85,3.25,2.35,1.69,2.11,234,Sunday,8,2010,2010/2011
Man City,Liverpool,P Dowd,2.25,3.2,3.05,1.62,2.2,235,Monday,8,2010,2010/2011
Blackburn,Arsenal,C Foy,6.0,3.75,1.55,1.95,1.81,240,Saturday,8,2010,2010/2011
Blackpool,Fulham,M Oliver,2.95,3.3,2.3,1.82,1.95,240,Saturday,8,2010,2010/2011
Chelsea,Stoke,M Atkinson,1.1,8.25,20.0,2.99,1.35,240,Saturday,8,2010,2010/2011
Man United,West Ham,M Clattenburg,1.12,7.5,18.5,2.73,1.41,240,Saturday,8,2010,2010/2011
Tottenham,Wigan,P Dowd,1.22,5.75,11.5,2.48,1.5,240,Saturday,8,2010,2010/2011
Wolves,Newcastle,S Attwell,2.35,3.25,2.85,1.66,2.16,240,Saturday,8,2010,2010/2011
Aston Villa,Everton,M Jones,2.45,3.2,2.8,1.71,2.07,241,Sunday,8,2010,2010/2011
Bolton,Birmingham,K Friend,2.05,3.3,3.45,1.67,2.12,241,Sunday,8,2010,2010/2011
Liverpool,West Brom,L Probert,1.22,5.5,12.5,2.28,1.58,241,Sunday,8,2010,2010/2011
Sunderland,Man City,M Dean,4.25,3.6,1.75,1.77,1.99,241,Sunday,8,2010,2010/2011
Arsenal,Bolton,S Attwell,1.2,5.75,13.5,2.51,1.49,313,Tuesday,9,2010,2010/2011
Everton,Man United,M Atkinson,4.25,3.4,1.8,1.78,1.99,313,Tuesday,9,2010,2010/2011
Fulham,Wolves,P Dowd,1.75,3.4,4.6,1.72,2.07,313,Tuesday,9,2010,2010/2011
Man City,Blackburn,M Clattenburg,1.3,5.0,9.0,2.13,1.67,313,Tuesday,9,2010,2010/2011
Newcastle,Blackpool,L Mason,1.53,4.1,5.5,2.11,1.69,313,Tuesday,9,2010,2010/2011
West Brom,Tottenham,H Webb,3.75,3.3,1.95,1.83,1.94,313,Tuesday,9,2010,2010/2011
West Ham,Chelsea,C Foy,9.0,5.0,1.3,2.38,1.54,313,Tuesday,9,2010,2010/2011
Wigan,Sunderland,A Marriner,2.4,3.2,2.85,1.69,2.1,313,Tuesday,9,2010,2010/2011
Birmingham,Liverpool,M Halsey,3.25,3.25,2.15,1.63,2.2,343,Thursday,9,2010,2010/2011
Stoke,Aston Villa,L Probert,2.5,3.15,2.75,1.62,2.21,256,Monday,9,2010,2010/2011
Aston Villa,Bolton,M Dean,1.8,3.3,4.5,1.86,1.89,261,Saturday,9,2010,2010/2011
Blackburn,Fulham,A Taylor,2.0,3.3,3.55,1.7,2.09,261,Saturday,9,2010,2010/2011
Everton,Newcastle,A Marriner,1.6,3.6,5.5,1.89,1.86,261,Saturday,9,2010,2010/2011
Stoke,West Ham,L Mason,1.95,3.35,3.7,1.74,2.04,261,Saturday,9,2010,2010/2011
Sunderland,Arsenal,P Dowd,5.3,3.6,1.62,1.97,1.8,261,Saturday,9,2010,2010/2011
Tottenham,Wolves,M Jones,1.4,4.25,7.5,2.02,1.75,261,Saturday,9,2010,2010/2011
West Brom,Birmingham,C Foy,2.2,3.2,3.15,1.71,2.08,261,Saturday,9,2010,2010/2011
Chelsea,Blackpool,M Clattenburg,1.1,8.25,20.0,3.24,1.31,262,Sunday,9,2010,2010/2011
Man United,Liverpool,H Webb,1.65,3.6,5.0,1.74,2.04,262,Sunday,9,2010,2010/2011
Wigan,Man City,L Probert,5.0,3.6,1.65,1.84,1.91,262,Sunday,9,2010,2010/2011
Arsenal,West Brom,M Oliver,1.16,6.0,18.0,2.68,1.42,268,Saturday,9,2010,2010/2011
Birmingham,Wigan,M Clattenburg,1.8,3.3,4.5,1.67,2.13,268,Saturday,9,2010,2010/2011
Blackpool,Blackburn,M Dean,3.15,3.25,2.2,1.95,1.81,268,Saturday,9,2010,2010/2011
Fulham,Everton,H Webb,2.55,3.2,2.65,1.65,2.18,268,Saturday,9,2010,2010/2011
Liverpool,Sunderland,S Attwell,1.45,4.0,7.0,1.85,1.9,268,Saturday,9,2010,2010/2011
Man City,Chelsea,A Marriner,3.65,3.25,2.0,1.85,1.9,268,Saturday,9,2010,2010/2011
West Ham,Tottenham,M Atkinson,3.5,3.35,2.0,1.84,1.91,268,Saturday,9,2010,2010/2011
Bolton,Man United,P Dowd,7.0,4.0,1.45,2.03,1.74,269,Sunday,9,2010,2010/2011
Newcastle,Stoke,M Jones,1.9,3.3,3.95,1.74,2.02,269,Sunday,9,2010,2010/2011
Wolves,Aston Villa,M Halsey,2.7,3.2,2.5,1.72,2.05,269,Sunday,9,2010,2010/2011
Birmingham,Everton,P Dowd,2.65,3.1,2.6,1.67,2.14,41,Wednesday,10,2010,2010/2011
Stoke,Blackburn,H Webb,2.25,3.1,3.2,1.72,2.07,41,Wednesday,10,2010,2010/2011
Sunderland,Man United,C Foy,4.2,3.5,1.8,1.84,1.92,41,Wednesday,10,2010,2010/2011
Tottenham,Aston Villa,M Clattenburg,1.9,3.45,3.75,2.02,1.76,41,Wednesday,10,2010,2010/2011
West Brom,Bolton,P Walton,2.1,3.25,3.35,1.91,1.85,41,Wednesday,10,2010,2010/2011
West Ham,Fulham,A Marriner,2.25,3.2,3.05,1.7,2.09,41,Wednesday,10,2010,2010/2011
Wigan,Wolves,L Mason,2.15,3.2,3.3,1.68,2.13,41,Wednesday,10,2010,2010/2011
Chelsea,Arsenal,M Dean,1.65,3.75,4.75,1.97,1.81,69,Wednesday,10,2010,2010/2011
Liverpool,Blackpool,M Jones,1.3,4.75,9.75,2.26,1.58,69,Wednesday,10,2010,2010/2011
Man City,Newcastle,M Atkinson,1.4,4.4,7.25,2.02,1.76,69,Wednesday,10,2010,2010/2011
Arsenal,Birmingham,M Atkinson,1.28,5.0,9.75,2.5,1.5,289,Saturday,10,2010,2010/2011
Aston Villa,Chelsea,L Mason,5.5,3.9,1.65,1.92,1.84,289,Saturday,10,2010,2010/2011
Bolton,Stoke,P Walton,2.15,3.25,3.25,1.74,2.04,289,Saturday,10,2010,2010/2011
Fulham,Tottenham,M Dean,3.0,3.3,2.4,1.76,2.03,289,Saturday,10,2010,2010/2011
Man United,West Brom,M Jones,1.22,5.75,11.0,2.52,1.49,289,Saturday,10,2010,2010/2011
Newcastle,Wigan,M Halsey,1.75,3.5,4.5,1.77,2.01,289,Saturday,10,2010,2010/2011
Wolves,West Ham,M Clattenburg,2.15,3.2,3.3,1.7,2.1,289,Saturday,10,2010,2010/2011
Blackpool,Man City,P Dowd,5.5,3.6,1.6,2.16,1.66,290,Sunday,10,2010,2010/2011
Everton,Liverpool,H Webb,2.45,3.3,2.95,1.64,2.19,290,Sunday,10,2010,2010/2011
Blackburn,Sunderland,L Probert,2.05,3.25,3.5,1.69,2.11,291,Monday,10,2010,2010/2011
Birmingham,Blackpool,A Taylor,1.91,3.4,3.8,2.02,1.76,296,Saturday,10,2010,2010/2011
Chelsea,Wolves,L Probert,1.12,7.5,18.5,2.95,1.37,296,Saturday,10,2010,2010/2011
Sunderland,Aston Villa,M Halsey,2.4,3.2,2.85,1.67,2.16,296,Saturday,10,2010,2010/2011
Tottenham,Everton,M Jones,1.95,3.3,3.75,1.79,1.99,296,Saturday,10,2010,2010/2011
West Brom,Fulham,K Friend,2.1,3.2,3.4,1.76,2.03,296,Saturday,10,2010,2010/2011
West Ham,Newcastle,C Foy,2.35,3.2,2.9,1.82,1.96,296,Saturday,10,2010,2010/2011
Wigan,Bolton,H Webb,2.45,3.1,2.85,1.71,2.1,296,Saturday,10,2010,2010/2011
Liverpool,Blackburn,P Dowd,1.65,3.5,5.25,1.74,2.05,297,Sunday,10,2010,2010/2011
Man City,Arsenal,M Clattenburg,2.3,3.3,2.95,1.85,1.92,297,Sunday,10,2010,2010/2011
Stoke,Man United,A Marriner,5.25,3.6,1.63,1.82,1.95,297,Sunday,10,2010,2010/2011
Arsenal,West Ham,M Jones,1.15,7.0,14.0,2.71,1.42,303,Saturday,10,2010,2010/2011
Blackburn,Chelsea,P Walton,7.5,4.25,1.4,1.94,1.83,303,Saturday,10,2010,2010/2011
Everton,Stoke,L Probert,1.5,3.8,6.5,1.76,2.02,303,Saturday,10,2010,2010/2011
Fulham,Wigan,A Marriner,1.85,3.4,4.0,1.73,2.07,303,Saturday,10,2010,2010/2011
Man United,Tottenham,M Clattenburg,1.6,4.0,5.75,2.23,1.63,303,Saturday,10,2010,2010/2011
Wolves,Man City,M Dean,5.4,3.45,1.65,1.76,2.02,303,Saturday,10,2010,2010/2011
Aston Villa,Birmingham,H Webb,1.85,3.4,4.6,1.74,2.05,304,Sunday,10,2010,2010/2011
Bolton,Liverpool,M Atkinson,3.25,3.25,2.15,1.72,2.09,304,Sunday,10,2010,2010/2011
Newcastle,Sunderland,P Dowd,2.2,3.25,3.5,1.82,1.95,304,Sunday,10,2010,2010/2011
Blackpool,West Brom,M Oliver,2.75,3.2,2.45,2.06,1.72,11,Monday,11,2010,2010/2011
Birmingham,West Ham,M Oliver,1.91,3.25,4.0,1.69,2.12,162,Friday,11,2010,2010/2011
Blackburn,Wigan,K Friend,1.75,3.5,4.5,1.74,2.05,162,Friday,11,2010,2010/2011
Blackpool,Everton,A Marriner,4.5,3.5,1.75,2.0,1.78,162,Friday,11,2010,2010/2011
Bolton,Tottenham,C Foy,2.9,3.3,2.3,1.8,1.98,162,Friday,11,2010,2010/2011
Fulham,Aston Villa,P Walton,2.1,3.2,3.4,1.6,2.26,162,Friday,11,2010,2010/2011
Man United,Wolves,P Dowd,1.2,6.25,11.5,2.27,1.6,162,Friday,11,2010,2010/2011
Sunderland,Stoke,M Atkinson,2.0,3.2,3.75,1.59,2.27,162,Friday,11,2010,2010/2011
Arsenal,Newcastle,M Dean,1.22,5.75,11.5,2.61,1.45,192,Sunday,11,2010,2010/2011
Liverpool,Chelsea,H Webb,3.75,3.3,1.95,1.79,1.99,192,Sunday,11,2010,2010/2011
West Brom,Man City,L Probert,3.6,3.3,2.0,1.9,1.86,192,Sunday,11,2010,2010/2011
Stoke,Birmingham,M Clattenburg,2.05,3.2,3.6,1.61,2.25,254,Saturday,11,2010,2010/2011
Tottenham,Sunderland,H Webb,1.48,4.0,6.5,1.97,1.8,254,Saturday,11,2010,2010/2011
Aston Villa,Blackpool,A Taylor,1.6,3.5,5.75,2.17,1.65,284,Monday,11,2010,2010/2011
Chelsea,Fulham,M Atkinson,1.18,6.25,13.0,2.36,1.55,284,Monday,11,2010,2010/2011
Everton,Bolton,P Dowd,1.6,3.6,5.5,1.79,1.98,284,Monday,11,2010,2010/2011
Man City,Man United,C Foy,2.5,3.2,2.7,1.76,2.03,284,Monday,11,2010,2010/2011
Newcastle,Blackburn,M Jones,1.91,3.3,3.9,1.81,1.96,284,Monday,11,2010,2010/2011
West Ham,West Brom,M Dean,2.25,3.25,3.05,1.84,1.93,284,Monday,11,2010,2010/2011
Wigan,Liverpool,P Walton,4.5,3.7,1.7,1.64,2.19,284,Monday,11,2010,2010/2011
Wolves,Arsenal,M Halsey,5.5,3.6,1.6,2.04,1.74,284,Monday,11,2010,2010/2011
Aston Villa,Man United,M Dean,4.25,3.45,1.8,1.75,2.03,317,Saturday,11,2010,2010/2011
Man City,Birmingham,M Jones,1.38,4.5,7.5,2.0,1.77,317,Saturday,11,2010,2010/2011
Newcastle,Fulham,L Probert,1.85,3.4,4.0,1.79,1.99,317,Saturday,11,2010,2010/2011
Stoke,Liverpool,M Halsey,4.1,3.4,1.85,1.67,2.15,317,Saturday,11,2010,2010/2011
Tottenham,Blackburn,A Marriner,1.6,3.45,6.0,1.94,1.83,317,Saturday,11,2010,2010/2011
West Ham,Blackpool,K Friend,1.85,3.6,3.8,2.17,1.66,317,Saturday,11,2010,2010/2011
Wigan,West Brom,A Taylor,2.25,3.2,3.05,1.81,1.97,317,Saturday,11,2010,2010/2011
Wolves,Bolton,P Walton,2.2,3.2,3.2,1.71,2.08,317,Saturday,11,2010,2010/2011
Chelsea,Sunderland,C Foy,1.22,5.5,12.0,2.32,1.57,318,Sunday,11,2010,2010/2011
Everton,Arsenal,H Webb,3.1,3.25,2.2,1.83,1.95,318,Sunday,11,2010,2010/2011
Arsenal,Tottenham,P Dowd,1.6,3.75,5.25,2.2,1.64,324,Saturday,11,2010,2010/2011
Birmingham,Chelsea,M Halsey,5.0,3.6,1.67,1.79,1.99,324,Saturday,11,2010,2010/2011
Blackpool,Wolves,M Clattenburg,2.45,3.2,2.75,2.11,1.69,324,Saturday,11,2010,2010/2011
Bolton,Newcastle,H Webb,2.05,3.4,3.4,1.85,1.92,324,Saturday,11,2010,2010/2011
Liverpool,West Ham,L Probert,1.55,3.75,6.0,1.85,1.92,324,Saturday,11,2010,2010/2011
Man United,Wigan,M Atkinson,1.18,6.5,12.0,2.3,1.58,324,Saturday,11,2010,2010/2011
West Brom,Stoke,C Foy,2.1,3.1,3.5,1.76,2.02,324,Saturday,11,2010,2010/2011
Blackburn,Aston Villa,M Oliver,2.25,3.2,3.1,1.67,2.15,325,Sunday,11,2010,2010/2011
Fulham,Man City,L Mason,3.05,3.25,2.25,1.67,2.14,325,Sunday,11,2010,2010/2011
Sunderland,Everton,P Walton,2.5,3.1,2.8,1.6,2.27,326,Monday,11,2010,2010/2011
Aston Villa,Arsenal,M Clattenburg,3.5,3.5,2.1,1.84,1.92,331,Saturday,11,2010,2010/2011
Bolton,Blackpool,M Dean,1.55,4.1,5.25,2.4,1.53,331,Saturday,11,2010,2010/2011
Everton,West Brom,L Mason,1.55,3.5,6.5,1.96,1.8,331,Saturday,11,2010,2010/2011
Fulham,Birmingham,H Webb,1.95,3.25,3.85,1.62,2.23,331,Saturday,11,2010,2010/2011
Man United,Blackburn,L Probert,1.22,5.5,12.5,2.17,1.64,331,Saturday,11,2010,2010/2011
Stoke,Man City,P Walton,3.5,3.4,2.15,1.67,2.14,331,Saturday,11,2010,2010/2011
West Ham,Wigan,M Halsey,1.91,3.4,3.8,1.75,2.03,331,Saturday,11,2010,2010/2011
Wolves,Sunderland,M Jones,2.55,3.2,2.65,1.76,2.02,331,Saturday,11,2010,2010/2011
Newcastle,Chelsea,A Marriner,5.0,3.6,1.65,1.98,1.75,332,Sunday,11,2010,2010/2011
Tottenham,Liverpool,M Atkinson,2.15,3.4,3.5,1.87,1.88,332,Sunday,11,2010,2010/2011
Arsenal,Fulham,C Foy,1.25,5.25,11.0,2.24,1.6,102,Monday,12,2010,2010/2011
Birmingham,Tottenham,K Friend,3.4,3.4,2.15,1.82,1.95,102,Monday,12,2010,2010/2011
Blackburn,Wolves,H Webb,1.75,3.5,4.4,1.9,1.88,102,Monday,12,2010,2010/2011
Chelsea,Everton,L Probert,1.35,4.5,8.25,2.09,1.71,102,Monday,12,2010,2010/2011
Man City,Bolton,A Marriner,1.55,4.1,6.25,1.9,1.87,102,Monday,12,2010,2010/2011
Wigan,Stoke,M Jones,2.55,3.25,2.6,1.6,2.26,102,Monday,12,2010,2010/2011
Sunderland,West Ham,M Atkinson,1.85,3.45,4.0,1.77,2.02,132,Wednesday,12,2010,2010/2011
West Brom,Newcastle,M Dean,2.2,3.3,3.1,1.94,1.84,132,Wednesday,12,2010,2010/2011
Liverpool,Aston Villa,P Dowd,1.6,3.5,5.85,1.84,1.93,163,Saturday,12,2010,2010/2011
Aston Villa,West Brom,M Halsey,2.0,3.4,3.5,2.01,1.77,316,Friday,12,2010,2010/2011
Everton,Wigan,M Oliver,1.4,4.25,7.75,1.95,1.83,316,Friday,12,2010,2010/2011
Fulham,Sunderland,N Swarbrick,2.15,3.2,3.3,1.62,2.23,316,Friday,12,2010,2010/2011
Newcastle,Liverpool,L Mason,3.6,3.4,2.1,1.85,1.93,316,Friday,12,2010,2010/2011
Stoke,Blackpool,A Taylor,1.6,3.9,5.0,2.24,1.61,316,Friday,12,2010,2010/2011
West Ham,Man City,P Dowd,4.5,3.5,1.75,1.81,1.97,316,Friday,12,2010,2010/2011
Bolton,Blackburn,M Clattenburg,2.05,3.25,3.5,1.88,1.9,346,Sunday,12,2010,2010/2011
Tottenham,Chelsea,M Dean,2.9,3.2,2.55,1.83,1.95,346,Sunday,12,2010,2010/2011
Wolves,Birmingham,M Atkinson,2.35,3.2,2.9,1.68,2.13,346,Sunday,12,2010,2010/2011
Man United,Arsenal,H Webb,1.95,3.4,3.6,1.9,1.87,347,Monday,12,2010,2010/2011
Blackburn,West Ham,M Dean,1.75,3.5,4.5,1.93,1.84,352,Saturday,12,2010,2010/2011
Sunderland,Bolton,C Foy,2.05,3.25,3.5,1.79,1.99,352,Saturday,12,2010,2010/2011
Man City,Everton,P Walton,1.65,3.65,5.0,1.77,2.01,354,Monday,12,2010,2010/2011
Aston Villa,Tottenham,M Atkinson,3.1,3.2,2.25,1.91,1.86,360,Sunday,12,2010,2010/2011
Blackburn,Stoke,M Jones,2.25,3.1,3.2,1.74,2.05,360,Sunday,12,2010,2010/2011
Bolton,West Brom,H Webb,2.0,3.35,3.5,2.0,1.78,360,Sunday,12,2010,2010/2011
Fulham,West Ham,M Halsey,1.85,3.2,4.4,1.66,2.17,360,Sunday,12,2010,2010/2011
Man United,Sunderland,P Dowd,1.25,5.25,11.5,2.14,1.68,360,Sunday,12,2010,2010/2011
Newcastle,Man City,C Foy,3.1,3.2,2.25,1.86,1.91,360,Sunday,12,2010,2010/2011
Wolves,Wigan,M Dean,2.0,3.1,3.9,1.68,2.14,360,Sunday,12,2010,2010/2011
Arsenal,Chelsea,M Clattenburg,2.55,3.2,2.65,1.89,1.88,361,Monday,12,2010,2010/2011
Birmingham,Man United,L Mason,7.0,4.0,1.45,1.78,2.01,362,Tuesday,12,2010,2010/2011
Man City,Aston Villa,M Oliver,1.45,4.0,7.0,1.94,1.84,362,Tuesday,12,2010,2010/2011
Stoke,Fulham,K Friend,1.85,3.25,4.25,1.61,2.26,362,Tuesday,12,2010,2010/2011
Sunderland,Blackpool,A Marriner,1.57,3.9,5.25,2.17,1.67,362,Tuesday,12,2010,2010/2011
Tottenham,Newcastle,A Taylor,1.45,4.1,6.75,2.16,1.67,362,Tuesday,12,2010,2010/2011
West Brom,Blackburn,P Dowd,1.9,3.5,3.75,1.9,1.87,362,Tuesday,12,2010,2010/2011
West Ham,Everton,H Webb,3.3,3.1,2.2,1.72,2.08,362,Tuesday,12,2010,2010/2011
Chelsea,Bolton,M Jones,1.3,4.75,10.0,2.23,1.63,363,Wednesday,12,2010,2010/2011
Liverpool,Wolves,P Walton,1.3,4.75,10.0,2.17,1.66,363,Wednesday,12,2010,2010/2011
Wigan,Arsenal,L Probert,7.0,4.0,1.45,1.94,1.83,363,Wednesday,12,2010,2010/2011
Birmingham,Arsenal,P Walton,5.25,3.5,1.65,1.86,1.91,1,Saturday,1,2011,2010/2011
Liverpool,Bolton,K Friend,1.65,3.65,5.0,1.8,1.97,1,Saturday,1,2011,2010/2011
Man City,Blackpool,M Clattenburg,1.25,5.5,10.0,1.66,2.18,1,Saturday,1,2011,2010/2011
Stoke,Everton,A Marriner,2.6,3.1,2.65,1.62,2.24,1,Saturday,1,2011,2010/2011
Sunderland,Blackburn,M Dean,1.8,3.4,4.3,1.7,2.12,1,Saturday,1,2011,2010/2011
Tottenham,Fulham,M Jones,1.4,4.25,7.5,1.99,1.81,1,Saturday,1,2011,2010/2011
West Brom,Man United,C Foy,6.0,4.25,1.47,2.06,1.75,1,Saturday,1,2011,2010/2011
West Ham,Wolves,L Probert,1.95,3.35,3.7,1.75,2.04,1,Saturday,1,2011,2010/2011
Chelsea,Aston Villa,L Mason,1.22,5.75,11.0,2.26,1.61,32,Tuesday,1,2011,2010/2011
Wigan,Newcastle,H Webb,2.4,3.25,2.8,1.73,2.07,32,Tuesday,1,2011,2010/2011
Blackpool,Birmingham,J Moss,2.2,3.2,3.2,1.83,1.95,91,Friday,1,2011,2010/2011
Fulham,West Brom,M Atkinson,2.1,3.25,3.35,1.67,2.14,91,Friday,1,2011,2010/2011
Man United,Stoke,M Clattenburg,1.22,5.5,12.0,2.26,1.59,91,Friday,1,2011,2010/2011
Arsenal,Man City,M Jones,1.95,3.45,3.6,1.99,1.79,121,Sunday,1,2011,2010/2011
Aston Villa,Sunderland,P Walton,2.15,3.25,3.25,1.79,2.0,121,Sunday,1,2011,2010/2011
Blackburn,Liverpool,A Marriner,3.25,3.25,2.15,1.75,2.04,121,Sunday,1,2011,2010/2011
Bolton,Wigan,P Dowd,1.65,3.6,5.0,1.91,1.88,121,Sunday,1,2011,2010/2011
Everton,Tottenham,L Probert,2.65,3.2,2.55,1.79,1.99,121,Sunday,1,2011,2010/2011
Newcastle,West Ham,M Dean,1.88,3.5,3.75,1.85,1.93,121,Sunday,1,2011,2010/2011
Wolves,Chelsea,M Halsey,7.5,4.25,1.4,2.09,1.71,121,Sunday,1,2011,2010/2011
Blackpool,Liverpool,M Oliver,3.6,3.6,1.9,2.07,1.73,335,Thursday,1,2011,2010/2011
Chelsea,Blackburn,M Atkinson,1.25,5.0,12.0,2.27,1.59,15,Saturday,1,2011,2010/2011
Man City,Wolves,L Mason,1.25,5.0,12.0,2.12,1.68,15,Saturday,1,2011,2010/2011
Stoke,Bolton,M Oliver,2.15,3.25,3.25,1.67,2.16,15,Saturday,1,2011,2010/2011
West Brom,Blackpool,S Attwell,1.7,3.8,4.4,2.24,1.61,15,Saturday,1,2011,2010/2011
West Ham,Arsenal,A Marriner,6.0,4.0,1.5,2.03,1.76,15,Saturday,1,2011,2010/2011
Wigan,Fulham,A Taylor,2.45,3.05,2.9,1.62,2.25,15,Saturday,1,2011,2010/2011
Birmingham,Aston Villa,M Clattenburg,2.35,3.1,3.0,1.7,2.11,16,Sunday,1,2011,2010/2011
Liverpool,Everton,P Dowd,2.2,3.3,3.4,1.7,2.12,16,Sunday,1,2011,2010/2011
Sunderland,Newcastle,H Webb,2.15,3.3,3.5,1.74,2.06,16,Sunday,1,2011,2010/2011
Tottenham,Man United,M Dean,2.9,3.4,2.45,1.87,1.92,16,Sunday,1,2011,2010/2011
Arsenal,Wigan,K Friend,1.2,5.65,14.0,2.42,1.51,22,Saturday,1,2011,2010/2011
Aston Villa,Man City,H Webb,3.55,3.35,2.0,1.84,1.93,22,Saturday,1,2011,2010/2011
Blackpool,Sunderland,L Mason,2.4,3.25,2.8,1.94,1.82,22,Saturday,1,2011,2010/2011
Everton,West Ham,P Walton,1.45,4.0,7.0,1.89,1.87,22,Saturday,1,2011,2010/2011
Fulham,Stoke,S Attwell,2.2,3.2,3.2,1.59,2.26,22,Saturday,1,2011,2010/2011
Man United,Birmingham,M Jones,1.2,6.0,12.5,2.18,1.63,22,Saturday,1,2011,2010/2011
Newcastle,Tottenham,M Halsey,3.5,3.35,2.0,1.95,1.82,22,Saturday,1,2011,2010/2011
Wolves,Liverpool,M Atkinson,3.15,3.25,2.2,1.71,2.08,22,Saturday,1,2011,2010/2011
Blackburn,West Brom,M Clattenburg,2.2,3.2,3.2,1.94,1.83,23,Sunday,1,2011,2010/2011
Bolton,Chelsea,C Foy,5.5,3.6,1.6,1.9,1.86,24,Monday,1,2011,2010/2011
Blackpool,Man United,P Walton,8.5,4.5,1.35,2.41,1.53,25,Tuesday,1,2011,2010/2011
Wigan,Aston Villa,J Moss,3.0,3.2,2.3,1.74,2.04,25,Tuesday,1,2011,2010/2011
Liverpool,Fulham,L Probert,1.55,3.7,6.0,1.76,2.01,26,Wednesday,1,2011,2010/2011
Arsenal,Everton,L Mason,1.4,4.25,7.75,2.01,1.77,2,Sunday,2,2011,2010/2011
Man United,Aston Villa,C Foy,1.3,5.0,9.0,2.22,1.61,2,Sunday,2,2011,2010/2011
Sunderland,Chelsea,M Halsey,5.25,3.8,1.6,1.79,1.99,2,Sunday,2,2011,2010/2011
West Brom,Wigan,P Dowd,1.7,3.5,4.75,1.97,1.8,2,Sunday,2,2011,2010/2011
Birmingham,Man City,K Friend,4.2,3.4,1.83,1.77,2.0,33,Wednesday,2,2011,2010/2011
Blackburn,Tottenham,A Marriner,3.1,3.2,2.25,1.83,1.94,33,Wednesday,2,2011,2010/2011
Blackpool,West Ham,S Attwell,2.3,3.3,2.9,2.07,1.72,33,Wednesday,2,2011,2010/2011
Bolton,Wolves,P Walton,1.85,3.4,4.1,1.84,1.93,33,Wednesday,2,2011,2010/2011
Fulham,Newcastle,M Jones,2.0,3.1,3.85,1.67,2.14,33,Wednesday,2,2011,2010/2011
Liverpool,Stoke,A Taylor,1.55,3.75,6.0,1.72,2.06,33,Wednesday,2,2011,2010/2011
Aston Villa,Fulham,L Mason,1.95,3.3,3.75,1.68,2.12,122,Monday,2,2011,2010/2011
Everton,Blackpool,K Friend,1.45,4.0,7.0,2.25,1.6,122,Monday,2,2011,2010/2011
Man City,West Brom,M Atkinson,1.36,4.5,8.0,2.2,1.62,122,Monday,2,2011,2010/2011
Newcastle,Arsenal,P Dowd,5.25,3.75,1.6,1.98,1.79,122,Monday,2,2011,2010/2011
Stoke,Sunderland,L Probert,2.0,3.3,3.6,1.6,2.26,122,Monday,2,2011,2010/2011
Tottenham,Bolton,M Clattenburg,1.55,3.75,6.0,1.96,1.81,122,Monday,2,2011,2010/2011
Wigan,Blackburn,M Dean,2.5,3.15,2.75,1.66,2.15,122,Monday,2,2011,2010/2011
Wolves,Man United,M Oliver,8.0,4.1,1.4,2.03,1.75,122,Monday,2,2011,2010/2011
Chelsea,Liverpool,A Marriner,1.62,3.65,5.25,1.81,1.96,153,Thursday,2,2011,2010/2011
West Ham,Birmingham,C Foy,2.0,3.3,3.6,1.76,2.01,153,Thursday,2,2011,2010/2011
Arsenal,Wolves,C Foy,1.22,5.5,12.0,2.39,1.53,336,Friday,2,2011,2010/2011
