Number_of_goals
3+
0-2
0-2
3+
3+
0-2
3+
3+
0-2
3+
3+
3+
0-2
3+
0-2
3+
3+
3+
3+
3+
3+
3+
0-2
3+
0-2
0-2
0-2
3+
0-2
0-2
3+
3+
3+
0-2
0-2
0-2
3+
0-2
0-2
3+
0-2
0-2
0-2
0-2
0-2
3+
3+
3+
3+
0-2
3+
0-2
3+
0-2
3+
0-2
0-2
3+
3+
3+
0-2
0-2
0-2
3+
0-2
0-2
0-2
0-2
3+
3+
3+
0-2
3+
3+
3+
3+
0-2
3+
0-2
0-2
0-2
0-2
0-2
0-2
3+
3+
0-2
3+
3+
3+
0-2
3+
0-2
0-2
0-2
3+
0-2
0-2
3+
3+
3+
3+
3+
3+
0-2
3+
0-2
0-2
0-2
0-2
3+
0-2
3+
0-2
0-2
0-2
3+
3+
0-2
0-2
3+
0-2
0-2
0-2
3+
0-2
0-2
3+
3+
3+
3+
0-2
3+
3+
3+
0-2
3+
0-2
3+
3+
3+
3+
3+
0-2
3+
0-2
3+
3+
0-2
3+
3+
0-2
3+
0-2
0-2
3+
0-2
3+
3+
3+
0-2
0-2
3+
0-2
3+
3+
0-2
0-2
0-2
0-2
0-2
3+
3+
0-2
0-2
3+
0-2
3+
3+
3+
0-2
3+
0-2
0-2
0-2
3+
0-2
0-2
0-2
3+
3+
3+
0-2
0-2
3+
0-2
3+
0-2
3+
0-2
3+
3+
3+
0-2
0-2
3+
0-2
3+
3+
0-2
3+
0-2
3+
0-2
3+
3+
0-2
0-2
3+
0-2
0-2
3+
0-2
3+
3+
0-2
3+
0-2
3+
0-2
3+
3+
3+
0-2
3+
3+
3+
3+
3+
0-2
3+
0-2
0-2
0-2
3+
3+
3+
3+
3+
3+
3+
3+
0-2
0-2
0-2
0-2
0-2
0-2
0-2
3+
3+
3+
0-2
0-2
0-2
0-2
3+
0-2
3+
0-2
0-2
3+
3+
0-2
3+
0-2
3+
0-2
3+
3+
3+
0-2
3+
3+
3+
3+
3+
0-2
0-2
3+
3+
0-2
3+
0-2
3+
3+
0-2
0-2
0-2
3+
3+
3+
0-2
3+
3+
0-2
3+
3+
0-2
3+
0-2
0-2
3+
3+
3+
0-2
3+
3+
0-2
3+
0-2
3+
3+
0-2
0-2
3+
3+
0-2
0-2
3+
3+
0-2
3+
3+
0-2
3+
0-2
3+
3+
0-2
0-2
3+
3+
3+
0-2
0-2
0-2
3+
3+
0-2
3+
3+
3+
0-2
0-2
3+
3+
3+
3+
0-2
0-2
3+
3+
0-2
3+
0-2
3+
0-2
3+
3+
0-2
0-2
0-2
3+
3+
3+
0-2
3+
3+
3+
3+
0-2
0-2
0-2
3+
0-2
0-2
3+
3+
0-2
3+
3+
0-2
0-2
0-2
3+
0-2
0-2
3+
0-2
0-2
3+
3+
0-2
0-2
3+
3+
3+
0-2
0-2
